keys,en
EDITOR_IMPORT_TOOLTIP,"Import (load saved file into editor, without removing existing elements)"
EDITOR_SAVE_TOOLTIP,"Export (save to separate file)"
EDITOR_UNDO_TOOLTIP,Undo
EDITOR_REDO_TOOLTIP,Redo
EDITOR_SELECT_MOVE_TOOLTIP,Select / Move
EDITOR_SCALE_RESIZE_TOOLTIP,Scale / Resize
EDITOR_ROTATE_TOOLTIP,Rotate
EDITOR_MIRROR_TOOLTIP,Mirror
EDITOR_DELETE_TOOLTIP,Delete
EDITOR_LINE_TOOL_TOOLTIP,"Line\n - LMB to start drawing / finish segment\n - RMB to finish line"

WORLD_EDITOR_UI_SETTINGS_GROUP_NAME,World Editor

ACTION_EDIT_UNDO,"Undo (in editors)"
ACTION_EDIT_REDO,"Redo (in editors)"
ACTION_EDIT_SELECT_MOVE,"Select / Move tool (in editors)"
ACTION_EDIT_SCALE,"Scale tool (in editors)"
ACTION_EDIT_ROTATE,"Rotate tool (in editors)"
ACTION_EDIT_MIRROR,"Mirror tool (in editors)"
ACTION_EDIT_DELETE,"Delete tool (in editors)"
ACTION_EDIT_LINE_TOOL,"Line drawing tool (in editors)"
