keys,en,pl
FACTORY_BLOCK_NAME_SimpleFactoryBlock,Simple Construction Block,Blok konstrukcyjny
FACTORY_BLOCK_NAME_ElectronicControlBlock,Electronic Control Block,Elektroniczny blok kontrolny
FACTORY_BLOCK_NAME_ConveyorBelt,Conveyor Belt,Pas transmisyjny
FACTORY_BLOCK_NAME_ComputerControlBlock,Computer Control Block,Komputerowy blok kontrolny
FACTORY_BLOCK_NAME_GPIOExpander,"GPIO Expander\n(allow to make connection between Electronic and Computer Control Blocks)","Expander GPIO\n(pozwala na przekazywanie sygnałów między elektronicznymi i komputerowymi blokami kontrolnymi)"
FACTORY_BLOCK_NAME_ProducerBlock,Component Producer,Producent
FACTORY_BLOCK_NAME_Welder,Welder,Spawacz
FACTORY_BLOCK_NAME_Painter,Painter,Malarz
FACTORY_BLOCK_NAME_Detector,Detector,Detektor
FACTORY_BLOCK_NAME_ConveyorSplitter,Conveyor Splitter,Podział pasa transmisyjnego
FACTORY_BLOCK_NAME_ConveyorFastSplitter,Fast Conveyor Splitter,Szybki podział pasa transmisyjnego
FACTORY_BLOCK_NAME_SimpleLogicAND,"Auxiliary AND gate (slow, synchronous, sequential)","Pomocnicza bramka AND (wolna, synchroniczna, sekwencyjna)"
FACTORY_BLOCK_NAME_SimpleLogicNOT,"Auxiliary NOT gate (slow, synchronous, sequential)","Pomocnicza bramka NOT (wolna, synchroniczna, sekwencyjna)"
FACTORY_BLOCK_NAME_SimpleLogicOR,"Auxiliary OR gate (slow, synchronous, sequential)","Pomocnicza bramka OR (wolna, synchroniczna, sekwencyjna)"
FACTORY_START,Run,Start
FACTORY_STOP,Stop,Stop
FACTORY_PAUSE,Pause,Pause
FACTORY_UNPAUSE,Unpause,Unpause
FACTORY_TASK_INFO,Task Info,Informacje
FACTORY_GAME_TIME,Simulation time:,Czas fabryki:
FACTORY_SPECIAL_PAUSE_MESSAGE,Factory simulation in progress ... please wait, Symulacja w toku ... proszę czekać

FACTORY_BUILDER_BLOCK_NAME_TITLE,Enter name for block,Wprowadź nazwę bloku
FACTORY_BUILDER_BLOCK_NAME_TEXT,"This name will be used in name of this block input/output signals.\nThe name should be unique and lowercase.","Nazwa ta będzie używana w sygnałach wejścia / wyjścia związanych z blokiem.\nNazwa powinna być unikalna i zapisywana małymi literami."
FACTORY_BUILDER_BLOCK_NAME_OK,OK,OK
FACTORY_BUILDER_BLOCK_NAME_CANCEL,Cancel,Anuluj

FACTORY_ERROR_TITLE,"Geneal factory error","Ogólny błąd fabryki"
FACTORY_ERROR_TEXT,"Something went wrong. And no one knows what :-(","Coś poszło nie tak. I nikt nie wie co :-("
FACTORY_OVERCURRENT_ERROR_TITLE,"Overcurrent protection has been activated","Zadziałały zabezpieczenia nadprądowe!"
FACTORY_OVERCURERNT_ERROR_TEXT,"Smoke came out of the factory's electronic control system. Fortunately, the protection devices worked in time and cut off the power. Otherwise it could have ended much worse - electricity is no joke!","Z elektronicznego układu sterującego fabryką wydobył się dym. Na szczęście w porę zadziałały zabezpieczenia i odcięły zasilanie. W przeciwnym razie mogło skończyć się to dużo gorzej - z prądem nie ma żartów!"
FACTORY_OVERVOLTAGE_ERROR_TITLE,"There was a power surge!","Doszło do przepięcia!"
FACTORY_OVERVOLTAGE_ERROR_TEXT,"Smoke and sparks began to emerge from the factory's electronic control system. Fortunately, someone noticed this and cut off the power to the factory. Otherwise it could have ended much worse - electricity is no joke!","Z elektronicznego układu sterującego fabryką zaczął wydobywać się dym i iskry. Na szczęście ktoś to zauważył odciął zasilanie fabryki. W przeciwnym razie mogło skończyć się to dużo gorzej - z prądem nie ma żartów!"
FACTORY_CIRCUT_COMPUTER_CONFLICT_ERROR_TITLE,"Overcurrent protection has been activated","Zadziałały zabezpieczenia nadprądowe!"
FACTORY_CIRCUT_COMPUTER_CONFLICT_ERROR_TEXT,"Smoke came out of the factory's computer and electronic control systems. Fortunately, the protection devices worked in time and cut off the power. Otherwise it could have ended much worse - electricity is no joke!","Z komputerowego oraz z elektronicznego układu sterującego fabryką wydobył się dym. Na szczęście w porę zadziałały zabezpieczenia i odcięły zasilanie. W przeciwnym razie mogło skończyć się to dużo gorzej - z prądem nie ma żartów!"
FACTORY_ERROR_CLOSE_BUTTON,OK,OK

FACTORY_PRODUCT_FAILURE_TITLE,Mission Fail,Niepowodzenie
FACTORY_PRODUCT_FAILURE_TEXT,The product did not meet specifications.,Dostarczono produkt niezgodny ze specyfikacją.
FACTORY_PRODUCT_TIMEOUT_TEXT,Products not delivered within the required time.,Nie dostarczono produktów w wymaganym czasie.
FACTORY_PRODUCT_SUCCESS_TITLE,Mission Successful,Sukces
FACTORY_PRODUCT_SUCCESS_TEXT_%fTIME,"Congratulation!\n\nYou delivered all required products within %f seconds.","Gratulacje!\n\nDostarczyłeś wszystkie wymagane produkty w ciągu %s sekund."

FACTORY_BLOCK_UI_ACCEPT,OK,OK
FACTORY_BLOCK_UI_NOT_APPLIED,WARNING: Changes not applied!,UWAGA: Zmiany nie zatwierdzone!
FACTORY_BLOCK_UI_NUMBER_OF_SIGNALS,Number of signals:,Ilość sygnałów:
FACTORY_BLOCK_UI_OUTPUT,Output:,Wyjście:
FACTORY_BLOCK_UI_INPUTS,Inputs:,Wejścia:
