keys,en,pl
MAIN_MENU_RESUME_GAME,Resume Game,Wznów grę
MAIN_MENU_TASK_INFO,Show Task Info,Informacje o zadaniu
MAIN_MENU_MANUAL,Show Manual,Podręcznik
MAIN_MENU_SAVE_GAME,Save Game,Zapisz grę
MAIN_MENU_START_LEVEL,Open Factory,Nowa fabryka
MAIN_MENU_LOAD_SAVE,Load Save,Wczytaj grę
MAIN_MENU_SETTINGS,Settings,Ustawienia
MAIN_MENU_QUIT,Quit,Wyjście
MAIN_MENU_CANCEL,Cancel,Anuluj
MAIN_MENU_LOAD,Load,Wczytaj
MAIN_MENU_SAVE,Save,Zapisz
MAIN_MENU_OK,OK,OK
MAIN_MENU_ADD_SAVE_SLOT_TEXT,+,+
MAIN_MENU_ADD_SAVE_SLOT_TOOLTIP,Add new save slot,Dodaj nowy slot zapisu
MAIN_MENU_SAVE_OVERWRITE_CONFIRM_TITLE,Confirm save overwrite?,Potwierdź nadpisanie save'u
MAIN_MENU_SAVE_%s_OVERWRITE_CONFIRM_TEXT,"Overwrite save: '%s'?\n\n⚠️ This action can NOT be undone ⚠️\n","Nadpisać zapis: '%s'?\n\n⚠️ Ta akcja NIE może być cofnięta ⚠️\n"
MAIN_MENU_LOADING_PLESE_WAIT,Loading ... please wait!,Ładowanie ... proszę czekać!
MAIN_MENU_SAVED_MESSAGE,Game saved successfully,Gra zapisana pomyślnie

MAIN_MENU_UI_SETTINGS_GROUP_NAME,Main Menu,Menu główne

ACTION_GLOBAL_ESCAPE,Open main menu,Otwórz menu główne
ACTION_GLOBAL_BREAK,Force open main menu (also when window blocking default shortcut is focused),Wymuś otwarcie menu głównego (działa także gdy okno blokuje domyślny skrót klawiszowy)

